Field=#~Integer~#~50|Field=Description~String~Description~58|Field=Designator~String~Designator~474|Field=LibRef~String~LibRef~20|Field=Manufacturer 1~String~Manufacturer 1~20|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~20|Field=Quantity~Integer~Quantity~20|Field=Supplier 1~String~Supplier 1~34|Field=Supplier Currency 1~String~Supplier Currency 1~28|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~20|Field=Supplier Part Number 1~String~Supplier Part Number 1~20|Field=Supplier Stock 1~Integer~Supplier Stock 1~20|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~20|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Micromouse2019.PrjPcb|ReportField=ProjectFullPath~C:\Users\billy_000\Documents\Micromouse\2019\Micromouse 2019\Micromouse2019.PrjPcb|ReportField=Title~Bill of Materials For PCB Document [Micromouse2019.PcbDoc]|ReportField=TotalQuantity~84|ReportField=ReportTime~7:44:57 PM|ReportField=ReportDate~2/5/2019|ReportField=ReportDateTime~2/5/2019 7:44:57 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=DataSourceFileName~Micromouse2019.PcbDoc|ReportField=DataSourceFullPath~C:\Users\billy_000\Documents\Micromouse\2019\Micromouse 2019\Micromouse2019.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|CONN HEADER 4POS .100 R/A 30AU|J4, J8|CONN_4x1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D609-3312-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D609-3312-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D609-3312-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}609-3312-ND{URL.TIP}Supplier|||
12|CONN HEADER R/A 12POS 2.54MM|J11, J12|CONN_4x3|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DSAM8998-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DSAM8998-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DSAM8998-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}SAM8998-ND{URL.TIP}Supplier|||
13|TRANS 2NPN PREBIAS 0.2W US6|Q1, Q2|RN1907|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DRN1907LF%2528CTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DRN1907LF%2528CTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DRN1907LF%2528CTCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}RN1907LF(CTCT-ND{URL.TIP}Supplier|||
14|RES SMD 100 OHM 1% 1/10W 0603|R1, R2, R4, R5, R6, R8, R9|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-100HRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-100HRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|7|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-100HRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-100HRCT-ND{URL.TIP}Supplier|||
15|RES SMD 499K OHM 1% 1/10W 0603|R3|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-499KHRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-499KHRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-499KHRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-499KHRCT-ND{URL.TIP}Supplier|||
16|RES SMD 10K OHM 5% 1/10W 0603|R7, R12, R17, R21, R31, R32|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-10KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-10KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|6|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-10KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-10KGRCT-ND{URL.TIP}Supplier|||
17|RES 0.05 OHM 1% 1W 2512|R10|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-0.05TCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-0.05TCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|1|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-0.05TCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-0.05TCT-ND{URL.TIP}Supplier|||
18|RES SMD 220 OHM 5% 1/10W 0603|R11, R23, R24, R25, R26|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-220GRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-220GRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|5|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-220GRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-220GRCT-ND{URL.TIP}Supplier|||
19|RES SMD 4.7K OHM 5% 1/10W 0603|R13, R14|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-4.7KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-4.7KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|2|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3D311-4.7KGRCT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-4.7KGRCT-ND{URL.TIP}Supplier|||
20|RES 0.1 OHM 1% 1/3W 0603|R15, R16, R19, R20|Res1|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DP17478CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Loading...{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DP17478CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}Loading...{URL.TIP}Manufacturer|4|Digi-Key|Loading...||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DLoading...%26mpn%3DLoading...%26seller%3DDigi-Key%26sku%3DP17478CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P17478CT-ND{URL.TIP}Supplier|||
